epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4736,0.89553,9.64573,0.63611,1.26192,1.77605,0.75297,0.96774,0.95788,0.57411,0,0,0,0,1.24717,10.2501,0.55973,3.76646,1.8182,0.000658009,0.000658009,0.000658009
2,66.5899,0.58124,7.29864,0.41703,0.34871,1.46736,0.6209,0.87903,0.88313,0.63317,0,0,0,0,1.17069,10.9135,0.35092,3.79819,1.90025,0.00130828,0.00130828,0.00130828
3,95.6743,0.60565,5.15591,0.30315,0.38527,1.48265,0.43501,0.10484,0.09306,0.03792,0,0,0,0,3.9893,11.24,0.89797,3.68346,7.30645,0.00194206,0.00194206,0.00194206
4,124.542,0.56646,4.5298,0.25786,0.34409,1.4529,0.74036,0.84677,0.83909,0.34841,0.10827,0.23387,0.03237,0.00459,1.80795,7.91842,0.32789,2.12215,3.4708,0.00192575,0.00192575,0.00192575
5,153.183,0.54075,3.7038,0.20118,0.30991,1.41256,0.93421,0.98387,0.99309,0.74183,0.70804,0.74318,0.70984,0.22386,0.80773,3.68939,0.17794,1.11388,1.23797,0.001901,0.001901,0.001901
6,182.118,0.51729,3.0217,0.17544,0.28806,1.37067,0.991,1,0.995,0.77847,0.81518,0.82258,0.72769,0.3556,0.87432,3.17151,0.17061,0.53331,1.22375,0.00187625,0.00187625,0.00187625
7,210.91,0.46598,2.81174,0.1496,0.25879,1.33113,0.99878,1,0.995,0.72821,0.88601,0.8871,0.86217,0.44257,0.97691,2.7078,0.15248,0.48783,1.37238,0.0018515,0.0018515,0.0018515
8,239.57,0.46846,2.36643,0.13966,0.26748,1.32,1,0.99074,0.995,0.75852,0.89305,0.87903,0.85207,0.51581,0.92295,2.72996,0.16161,0.67741,1.38048,0.00182675,0.00182675,0.00182675
9,268.444,0.44822,2.12962,0.1338,0.2496,1.30277,0.99183,0.97945,0.9946,0.66093,0.85483,0.83065,0.81776,0.36711,1.16832,2.69685,0.14253,1.00677,1.7067,0.001802,0.001802,0.001802
10,297.237,0.45293,1.95036,0.12366,0.25093,1.2987,0.99951,1,0.995,0.78755,0.92695,0.92742,0.9193,0.53032,0.7897,2.17029,0.11762,0.45427,1.07377,0.00177725,0.00177725,0.00177725
11,325.831,0.45606,1.77432,0.10796,0.24947,1.2982,0.99884,1,0.995,0.78459,0.95051,0.95161,0.9411,0.60733,0.76728,1.81036,0.10826,0.41208,1.06627,0.0017525,0.0017525,0.0017525
12,354.579,0.44397,1.77897,0.11276,0.24797,1.28521,0.99134,1,0.995,0.77793,0.94337,0.95161,0.92561,0.7067,0.81816,1.491,0.11671,0.47932,1.23792,0.00172775,0.00172775,0.00172775
13,383.211,0.41749,1.78871,0.10519,0.23193,1.2717,0.99918,1,0.995,0.76228,0.93472,0.93548,0.9137,0.64353,0.79496,1.62876,0.11252,0.55589,1.13727,0.001703,0.001703,0.001703
14,412.665,0.415,1.60749,0.10183,0.23695,1.2603,0.9995,1,0.995,0.80351,0.91889,0.91935,0.90773,0.65548,0.73674,1.59736,0.11868,0.59661,1.09011,0.00167825,0.00167825,0.00167825
15,441.362,0.41474,1.59903,0.09841,0.23021,1.25945,0.99949,1,0.995,0.81344,0.93501,0.93548,0.91067,0.69819,0.74051,1.37493,0.10588,0.41815,1.0792,0.0016535,0.0016535,0.0016535
16,469.961,0.4036,1.42624,0.09532,0.22369,1.2503,0.99893,1,0.995,0.80895,0.94237,0.94355,0.90204,0.65104,0.68991,1.4727,0.10312,0.48013,1.03653,0.00162875,0.00162875,0.00162875
17,498.315,0.41039,1.4779,0.09303,0.22716,1.25883,0.99952,1,0.995,0.79267,0.95114,0.95161,0.90879,0.67264,0.64133,1.43519,0.10508,0.48033,0.98058,0.001604,0.001604,0.001604
18,526.768,0.40043,1.38881,0.0988,0.22093,1.2375,0.99954,1,0.995,0.78481,0.93505,0.93548,0.88705,0.6294,0.76673,1.48126,0.11012,0.47953,1.10182,0.00157925,0.00157925,0.00157925
19,555.221,0.39856,1.43652,0.0881,0.22026,1.24138,0.99916,1,0.995,0.76316,0.95887,0.95968,0.92642,0.60163,0.73939,1.46988,0.10325,0.62407,1.13104,0.0015545,0.0015545,0.0015545
20,584.083,0.4167,1.38512,0.09178,0.2195,1.25058,0.99929,1,0.995,0.77304,0.95899,0.95968,0.93578,0.70236,0.66964,1.24411,0.10639,0.51901,1.03358,0.00152975,0.00152975,0.00152975
21,612.777,0.40334,1.30837,0.08929,0.21925,1.24817,0.998,1,0.995,0.81596,0.93357,0.93548,0.8828,0.66212,0.60072,1.28496,0.10479,0.46891,0.96233,0.001505,0.001505,0.001505
22,641.305,0.40714,1.32179,0.09065,0.21925,1.23928,0.99953,1,0.995,0.82162,0.9431,0.94355,0.92713,0.65661,0.63246,1.50366,0.10157,0.39241,0.96084,0.00148025,0.00148025,0.00148025
23,670.279,0.3884,1.25532,0.08358,0.21348,1.23059,0.99935,1,0.995,0.83689,0.94294,0.94355,0.94623,0.69659,0.60521,1.40767,0.10771,0.47077,0.88782,0.0014555,0.0014555,0.0014555
