epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3981,1.38587,2.25504,1.2159,0.54754,0.23636,0.1601,0.10394,1.00969,1.31527,1.01994,0.000203252,0.000203252,0.000203252
2,26.3717,1.09999,0.88104,0.9914,0.61008,0.32854,0.30754,0.16126,1.05552,0.87997,1.00039,0.000406492,0.000406492,0.000406492
3,34.0534,1.04899,0.72963,0.955,0.54399,0.34457,0.32181,0.18673,0.99876,0.83014,0.99212,0.000604576,0.000604576,0.000604576
4,41.8011,1.03337,0.69355,0.94411,0.67069,0.3294,0.35846,0.20097,1.02579,0.78715,0.97969,0.000601797,0.000601797,0.000601797
5,49.5422,0.98076,0.6402,0.92754,0.63488,0.36847,0.37037,0.21808,0.97871,0.77088,0.96955,0.000594062,0.000594062,0.000594062
6,56.981,0.93957,0.60821,0.92491,0.54374,0.39904,0.36979,0.2181,0.9992,0.78872,0.9717,0.000586328,0.000586328,0.000586328
7,64.3605,0.94451,0.59002,0.91368,0.64911,0.41491,0.38313,0.2316,0.9682,0.71527,0.96699,0.000578594,0.000578594,0.000578594
8,71.8946,0.92357,0.57292,0.91222,0.45803,0.43149,0.38961,0.22683,1.0835,0.76741,0.98618,0.000570859,0.000570859,0.000570859
9,79.3783,0.92863,0.56942,0.91206,0.55168,0.52596,0.4336,0.24789,0.98381,0.742,0.98005,0.000563125,0.000563125,0.000563125
10,86.9711,0.8949,0.54339,0.90111,0.56339,0.44667,0.4164,0.23764,1.132,0.7442,0.98811,0.000555391,0.000555391,0.000555391
11,94.4178,0.88127,0.5303,0.89709,0.61199,0.3891,0.42301,0.24786,1.09089,0.72721,0.97466,0.000547656,0.000547656,0.000547656
12,101.88,0.88094,0.53101,0.90021,0.54346,0.43923,0.40527,0.24856,0.92823,0.67763,0.96808,0.000539922,0.000539922,0.000539922
13,109.257,0.86937,0.52231,0.89404,0.43227,0.51188,0.41287,0.23801,1.06579,0.71774,0.97447,0.000532187,0.000532187,0.000532187
14,116.661,0.84191,0.50644,0.8909,0.60674,0.38699,0.43297,0.25402,1.00331,0.7077,0.97055,0.000524453,0.000524453,0.000524453
15,124.204,0.85701,0.50428,0.89021,0.67051,0.42417,0.41509,0.25205,0.96434,0.66057,0.9614,0.000516719,0.000516719,0.000516719
16,131.684,0.82229,0.49593,0.88445,0.50286,0.57022,0.42919,0.26058,1.00158,0.67445,0.96257,0.000508984,0.000508984,0.000508984
17,139.112,0.83703,0.49898,0.88427,0.60856,0.50598,0.44328,0.25226,1.14388,0.67752,0.99003,0.00050125,0.00050125,0.00050125
18,146.511,0.83104,0.48607,0.88318,0.50009,0.47929,0.4314,0.24829,1.05766,0.68178,0.9656,0.000493516,0.000493516,0.000493516
19,154.012,0.82276,0.4852,0.8824,0.57136,0.54336,0.46008,0.26669,1.07241,0.69306,0.98425,0.000485781,0.000485781,0.000485781
20,161.484,0.81883,0.48245,0.87901,0.60491,0.44368,0.44086,0.24624,1.13907,0.69379,0.98617,0.000478047,0.000478047,0.000478047
21,171.104,0.80245,0.47325,0.87508,0.69915,0.44439,0.45774,0.2608,1.05063,0.66899,0.96654,0.000470312,0.000470312,0.000470312
22,180.615,0.81461,0.4737,0.87877,0.62942,0.4445,0.4574,0.26514,1.09799,0.70745,0.97496,0.000462578,0.000462578,0.000462578
23,190.012,0.79442,0.46061,0.87717,0.54446,0.54699,0.4791,0.28082,1.13409,0.68776,0.9813,0.000454844,0.000454844,0.000454844
